DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
3,RIC,1.0,1.0,4.0,22052,SOFT,False,5513,0 days 00:01:46.886000
3,RIC,2.0,1.0,5.0,27565,SOFT,False,11026,0 days 00:01:42.902000
3,RIC,3.0,1.0,6.0,33078,SOFT,False,16539,0 days 00:01:43.193000
3,RIC,4.0,1.0,7.0,38591,SOFT,False,22052,0 days 00:01:42.353000
3,RIC,5.0,1.0,8.0,44104,SOFT,False,27565,0 days 00:01:42.257000
3,RIC,6.0,1.0,9.0,49617,SOFT,False,33078,0 days 00:01:42.204000
3,RIC,7.0,1.0,10.0,55130,SOFT,False,38591,0 days 00:01:42.559000
3,RIC,8.0,1.0,11.0,60643,SOFT,False,44104,0 days 00:01:42.528000
3,RIC,9.0,1.0,12.0,66156,SOFT,False,49617,0 days 00:01:42.900000
3,RIC,10.0,1.0,13.0,71669,SOFT,False,55130,0 days 00:01:42.579000
3,RIC,11.0,1.0,14.0,77182,SOFT,False,60643,0 days 00:01:43.280000
3,RIC,12.0,1.0,15.0,82695,SOFT,False,66156,0 days 00:01:42.841000
3,RIC,13.0,1.0,16.0,88208,SOFT,False,71669,0 days 00:01:42.790000
3,RIC,14.0,1.0,17.0,93721,SOFT,False,77182,0 days 00:01:42.900000
3,RIC,15.0,1.0,18.0,99234,SOFT,False,82695,0 days 00:01:42.648000
3,RIC,16.0,1.0,19.0,104747,SOFT,False,88208,0 days 00:01:42.732000
3,RIC,17.0,1.0,20.0,110260,SOFT,False,93721,0 days 00:01:42.660000
3,RIC,18.0,1.0,21.0,115773,SOFT,False,99234,0 days 00:01:42.741000
3,RIC,19.0,1.0,22.0,121286,SOFT,False,104747,0 days 00:01:42.724000
3,RIC,20.0,1.0,23.0,126799,SOFT,False,110260,0 days 00:01:43.287000
3,RIC,21.0,1.0,24.0,132312,SOFT,False,115773,0 days 00:01:43.950000
3,RIC,22.0,2.0,1.0,5513,HARD,True,121286,0 days 00:02:00.493000
3,RIC,23.0,2.0,2.0,11026,HARD,True,126799,0 days 00:01:41.180000
3,RIC,24.0,2.0,3.0,16539,HARD,True,132312,0 days 00:01:41.127000
3,RIC,25.0,2.0,4.0,22052,HARD,True,137825,0 days 00:01:41.717000
3,RIC,26.0,2.0,5.0,27565,HARD,True,143338,0 days 00:01:41.217000
3,RIC,27.0,2.0,6.0,33078,HARD,True,148851,0 days 00:01:41.096000
3,RIC,28.0,2.0,7.0,38591,HARD,True,154364,0 days 00:01:40.564000
3,RIC,29.0,2.0,8.0,44104,HARD,True,159877,0 days 00:01:40.580000
3,RIC,30.0,2.0,9.0,49617,HARD,True,165390,0 days 00:01:41.960000
3,RIC,31.0,2.0,10.0,55130,HARD,True,170903,0 days 00:01:41.499000
3,RIC,32.0,2.0,11.0,60643,HARD,True,176416,0 days 00:01:41.222000
3,RIC,33.0,2.0,12.0,66156,HARD,True,181929,0 days 00:01:41.775000
3,RIC,34.0,2.0,13.0,71669,HARD,True,187442,0 days 00:01:41.560000
3,RIC,35.0,2.0,14.0,77182,HARD,True,192955,0 days 00:01:41.815000
3,RIC,36.0,2.0,15.0,82695,HARD,True,198468,0 days 00:01:41.124000
3,RIC,37.0,2.0,16.0,88208,HARD,True,203981,0 days 00:01:42.149000
3,RIC,38.0,2.0,17.0,93721,HARD,True,209494,0 days 00:01:41.307000
3,RIC,39.0,2.0,18.0,99234,HARD,True,215007,0 days 00:01:41.534000
3,RIC,40.0,2.0,19.0,104747,HARD,True,220520,0 days 00:01:41.705000
3,RIC,41.0,2.0,20.0,110260,HARD,True,226033,0 days 00:01:40.939000
3,RIC,42.0,2.0,21.0,115773,HARD,True,231546,0 days 00:01:41.102000
3,RIC,43.0,2.0,22.0,121286,HARD,True,237059,0 days 00:01:41.125000
3,RIC,44.0,2.0,23.0,126799,HARD,True,242572,0 days 00:01:40.750000
3,RIC,45.0,2.0,24.0,132312,HARD,True,248085,0 days 00:01:41.420000
3,RIC,46.0,2.0,25.0,137825,HARD,True,253598,0 days 00:01:40.863000
3,RIC,47.0,2.0,26.0,143338,HARD,True,259111,0 days 00:01:40.655000
3,RIC,48.0,2.0,27.0,148851,HARD,True,264624,0 days 00:01:41.550000
3,RIC,49.0,2.0,28.0,154364,HARD,True,270137,0 days 00:01:40.806000
3,RIC,50.0,2.0,29.0,159877,HARD,True,275650,0 days 00:01:40.706000
3,RIC,51.0,2.0,30.0,165390,HARD,True,281163,0 days 00:01:40.689000
3,RIC,52.0,2.0,31.0,170903,HARD,True,286676,0 days 00:01:40.895000
3,RIC,53.0,2.0,32.0,176416,HARD,True,292189,0 days 00:01:40.666000
3,RIC,54.0,2.0,33.0,181929,HARD,True,297702,0 days 00:01:41.753000
3,RIC,55.0,2.0,34.0,187442,HARD,True,303215,0 days 00:01:41.784000
3,RIC,56.0,2.0,35.0,192955,HARD,True,308728,0 days 00:01:41.778000
