DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
10,GAS,1.0,1.0,1.0,5278,MEDIUM,True,5278,0 days 00:01:45.008000
10,GAS,2.0,1.0,2.0,10556,MEDIUM,True,10556,0 days 00:01:31.585000
10,GAS,3.0,1.0,3.0,15834,MEDIUM,True,15834,0 days 00:01:31.406000
10,GAS,4.0,1.0,4.0,21112,MEDIUM,True,21112,0 days 00:01:32.361000
10,GAS,5.0,1.0,5.0,26390,MEDIUM,True,26390,0 days 00:01:31.171000
10,GAS,6.0,1.0,6.0,31668,MEDIUM,True,31668,0 days 00:01:31.020000
10,GAS,7.0,1.0,7.0,36946,MEDIUM,True,36946,0 days 00:01:31.165000
10,GAS,8.0,1.0,8.0,42224,MEDIUM,True,42224,0 days 00:01:31.434000
10,GAS,9.0,1.0,9.0,47502,MEDIUM,True,47502,0 days 00:01:31.161000
10,GAS,10.0,1.0,10.0,52780,MEDIUM,True,52780,0 days 00:01:31.449000
10,GAS,11.0,1.0,11.0,58058,MEDIUM,True,58058,0 days 00:01:30.129000
10,GAS,12.0,1.0,12.0,63336,MEDIUM,True,63336,0 days 00:01:30.497000
10,GAS,13.0,1.0,13.0,68614,MEDIUM,True,68614,0 days 00:01:31.143000
10,GAS,14.0,1.0,14.0,73892,MEDIUM,True,73892,0 days 00:01:30.303000
10,GAS,15.0,1.0,15.0,79170,MEDIUM,True,79170,0 days 00:01:29.907000
10,GAS,16.0,1.0,16.0,84448,MEDIUM,True,84448,0 days 00:01:29.569000
10,GAS,17.0,1.0,17.0,89726,MEDIUM,True,89726,0 days 00:01:29.830000
10,GAS,18.0,1.0,18.0,95004,MEDIUM,True,95004,0 days 00:01:30.036000
10,GAS,19.0,1.0,19.0,100282,MEDIUM,True,100282,0 days 00:01:29.250000
10,GAS,20.0,1.0,20.0,105560,MEDIUM,True,105560,0 days 00:01:29.474000
10,GAS,21.0,1.0,21.0,110838,MEDIUM,True,110838,0 days 00:01:29.155000
10,GAS,22.0,1.0,22.0,116116,MEDIUM,True,116116,0 days 00:01:29.675000
10,GAS,23.0,1.0,23.0,121394,MEDIUM,True,121394,0 days 00:01:29.645000
10,GAS,24.0,1.0,24.0,126672,MEDIUM,True,126672,0 days 00:01:29.354000
10,GAS,25.0,1.0,25.0,131950,MEDIUM,True,131950,0 days 00:01:29.272000
10,GAS,26.0,1.0,26.0,137228,MEDIUM,True,137228,0 days 00:01:28.985000
10,GAS,27.0,1.0,27.0,142506,MEDIUM,True,142506,0 days 00:01:28.412000
10,GAS,28.0,1.0,28.0,147784,MEDIUM,True,147784,0 days 00:01:28.451000
10,GAS,29.0,1.0,29.0,153062,MEDIUM,True,153062,0 days 00:01:28.713000
10,GAS,30.0,1.0,30.0,158340,MEDIUM,True,158340,0 days 00:01:28.627000
10,GAS,31.0,1.0,31.0,163618,MEDIUM,True,163618,0 days 00:01:28.966000
10,GAS,32.0,1.0,32.0,168896,MEDIUM,True,168896,0 days 00:01:28.825000
10,GAS,33.0,1.0,33.0,174174,MEDIUM,True,174174,0 days 00:01:29.207000
10,GAS,34.0,1.0,34.0,179452,MEDIUM,True,179452,0 days 00:01:28.974000
10,GAS,35.0,1.0,35.0,184730,MEDIUM,True,184730,0 days 00:01:29.590000
10,GAS,36.0,1.0,36.0,190008,MEDIUM,True,190008,0 days 00:01:29.661000
10,GAS,37.0,1.0,37.0,195286,MEDIUM,True,195286,0 days 00:01:47.175000
10,GAS,38.0,2.0,1.0,5278,SOFT,True,200564,0 days 00:01:34.151000
10,GAS,39.0,2.0,2.0,10556,SOFT,True,205842,0 days 00:01:27.229000
10,GAS,40.0,2.0,3.0,15834,SOFT,True,211120,0 days 00:01:27.566000
10,GAS,41.0,2.0,4.0,21112,SOFT,True,216398,0 days 00:01:27.915000
10,GAS,42.0,2.0,5.0,26390,SOFT,True,221676,0 days 00:01:29.405000
10,GAS,43.0,2.0,6.0,31668,SOFT,True,226954,0 days 00:01:28.219000
10,GAS,44.0,2.0,7.0,36946,SOFT,True,232232,0 days 00:01:27.654000
10,GAS,45.0,2.0,8.0,42224,SOFT,True,237510,0 days 00:01:27.828000
10,GAS,46.0,2.0,9.0,47502,SOFT,True,242788,0 days 00:01:27.861000
10,GAS,47.0,2.0,10.0,52780,SOFT,True,248066,0 days 00:01:28.231000
10,GAS,48.0,2.0,11.0,58058,SOFT,True,253344,0 days 00:01:28.612000
10,GAS,49.0,2.0,12.0,63336,SOFT,True,258622,0 days 00:01:28.451000
10,GAS,50.0,2.0,13.0,68614,SOFT,True,263900,0 days 00:01:31.355000
10,GAS,51.0,2.0,14.0,73892,SOFT,True,269178,0 days 00:01:28.957000
10,GAS,52.0,2.0,15.0,79170,SOFT,True,274456,0 days 00:01:28.745000
10,GAS,53.0,2.0,16.0,84448,SOFT,True,279734,0 days 00:01:28.224000
10,GAS,54.0,2.0,17.0,89726,SOFT,True,285012,0 days 00:01:27.981000
10,GAS,55.0,2.0,18.0,95004,SOFT,True,290290,0 days 00:01:28.544000
10,GAS,56.0,2.0,19.0,100282,SOFT,True,295568,0 days 00:01:29.108000
10,GAS,57.0,2.0,20.0,105560,SOFT,True,300846,0 days 00:01:28.874000
