DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
18,STR,1.0,1.0,1.0,5848,MEDIUM,True,5848,0 days 00:02:21.626000
18,STR,2.0,1.0,2.0,11696,MEDIUM,True,11696,
18,STR,3.0,1.0,3.0,17544,MEDIUM,True,17544,
18,STR,4.0,1.0,4.0,23392,MEDIUM,True,23392,0 days 00:01:44.281000
18,STR,5.0,1.0,5.0,29240,MEDIUM,True,29240,0 days 00:01:43.340000
18,STR,6.0,1.0,6.0,35088,MEDIUM,True,35088,0 days 00:01:44.335000
18,STR,7.0,1.0,7.0,40936,MEDIUM,True,40936,0 days 00:01:42.880000
18,STR,8.0,1.0,8.0,46784,MEDIUM,True,46784,0 days 00:01:42.248000
18,STR,9.0,1.0,9.0,52632,MEDIUM,True,52632,0 days 00:01:42.005000
18,STR,10.0,1.0,10.0,58480,MEDIUM,True,58480,0 days 00:01:42.056000
18,STR,11.0,1.0,11.0,64328,MEDIUM,True,64328,0 days 00:01:41.825000
18,STR,12.0,1.0,12.0,70176,MEDIUM,True,70176,0 days 00:01:41.984000
18,STR,13.0,1.0,13.0,76024,MEDIUM,True,76024,0 days 00:01:41.788000
18,STR,14.0,1.0,14.0,81872,MEDIUM,True,81872,0 days 00:01:41.660000
18,STR,15.0,1.0,15.0,87720,MEDIUM,True,87720,0 days 00:01:41.224000
18,STR,16.0,1.0,16.0,93568,MEDIUM,True,93568,0 days 00:01:41.319000
18,STR,17.0,1.0,17.0,99416,MEDIUM,True,99416,0 days 00:01:40.981000
18,STR,18.0,1.0,18.0,105264,MEDIUM,True,105264,0 days 00:01:40.920000
18,STR,19.0,1.0,19.0,111112,MEDIUM,True,111112,0 days 00:01:40.841000
18,STR,20.0,1.0,20.0,116960,MEDIUM,True,116960,0 days 00:01:40.597000
18,STR,21.0,1.0,21.0,122808,MEDIUM,True,122808,0 days 00:01:40.784000
18,STR,22.0,1.0,22.0,128656,MEDIUM,True,128656,0 days 00:01:40.812000
18,STR,23.0,1.0,23.0,134504,MEDIUM,True,134504,0 days 00:01:40.678000
18,STR,24.0,1.0,24.0,140352,MEDIUM,True,140352,0 days 00:01:40.729000
18,STR,25.0,1.0,25.0,146200,MEDIUM,True,146200,0 days 00:01:40.388000
18,STR,26.0,1.0,26.0,152048,MEDIUM,True,152048,0 days 00:01:40.088000
18,STR,27.0,1.0,27.0,157896,MEDIUM,True,157896,0 days 00:01:52.418000
18,STR,28.0,2.0,1.0,5848,SOFT,True,163744,0 days 00:02:25.454000
18,STR,29.0,2.0,2.0,11696,SOFT,True,169592,0 days 00:02:13.934000
18,STR,30.0,2.0,3.0,17544,SOFT,True,175440,0 days 00:02:16.661000
18,STR,31.0,2.0,4.0,23392,SOFT,True,181288,0 days 00:01:49.384000
18,STR,32.0,2.0,5.0,29240,SOFT,True,187136,
18,STR,33.0,2.0,6.0,35088,SOFT,True,192984,0 days 00:01:41.862000
18,STR,34.0,2.0,7.0,40936,SOFT,True,198832,0 days 00:01:40.197000
18,STR,35.0,2.0,8.0,46784,SOFT,True,204680,0 days 00:01:41.677000
18,STR,36.0,2.0,9.0,52632,SOFT,True,210528,0 days 00:01:40.329000
18,STR,37.0,2.0,10.0,58480,SOFT,True,216376,0 days 00:01:40.927000
18,STR,38.0,2.0,11.0,64328,SOFT,True,222224,0 days 00:01:39.648000
18,STR,39.0,2.0,12.0,70176,SOFT,True,228072,0 days 00:01:39.512000
18,STR,40.0,2.0,13.0,76024,SOFT,True,233920,0 days 00:01:39.510000
18,STR,41.0,2.0,14.0,81872,SOFT,True,239768,0 days 00:01:39.275000
18,STR,42.0,2.0,15.0,87720,SOFT,True,245616,0 days 00:01:39.369000
18,STR,43.0,2.0,16.0,93568,SOFT,True,251464,0 days 00:01:39.371000
18,STR,44.0,2.0,17.0,99416,SOFT,True,257312,0 days 00:01:38.824000
18,STR,45.0,2.0,18.0,105264,SOFT,True,263160,0 days 00:01:39.428000
18,STR,46.0,2.0,19.0,111112,SOFT,True,269008,0 days 00:01:39.184000
18,STR,47.0,2.0,20.0,116960,SOFT,True,274856,0 days 00:01:38.707000
18,STR,48.0,2.0,21.0,122808,SOFT,True,280704,0 days 00:01:39.103000
18,STR,49.0,2.0,22.0,128656,SOFT,True,286552,0 days 00:01:38.922000
18,STR,50.0,2.0,23.0,134504,SOFT,True,292400,0 days 00:01:38.698000
18,STR,51.0,2.0,24.0,140352,SOFT,True,298248,0 days 00:01:38.698000
18,STR,52.0,2.0,25.0,146200,SOFT,True,304096,0 days 00:01:38.697000
18,STR,53.0,2.0,26.0,152048,SOFT,True,309944,0 days 00:01:38.611000
