DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
5,VET,1.0,1.0,4.0,23368,MEDIUM,False,5842,0 days 00:01:48.264000
5,VET,2.0,1.0,5.0,29210,MEDIUM,False,11684,0 days 00:01:39.354000
5,VET,3.0,1.0,6.0,35052,MEDIUM,False,17526,0 days 00:01:38.750000
5,VET,4.0,1.0,7.0,40894,MEDIUM,False,23368,0 days 00:01:38.247000
5,VET,5.0,1.0,8.0,46736,MEDIUM,False,29210,0 days 00:01:37.463000
5,VET,6.0,1.0,9.0,52578,MEDIUM,False,35052,0 days 00:01:37.270000
5,VET,7.0,1.0,10.0,58420,MEDIUM,False,40894,0 days 00:01:36.766000
5,VET,8.0,1.0,11.0,64262,MEDIUM,False,46736,0 days 00:01:36.153000
5,VET,9.0,1.0,12.0,70104,MEDIUM,False,52578,0 days 00:01:36.162000
5,VET,10.0,1.0,13.0,75946,MEDIUM,False,58420,0 days 00:01:36.158000
5,VET,11.0,1.0,14.0,81788,MEDIUM,False,64262,0 days 00:01:35.691000
5,VET,12.0,1.0,15.0,87630,MEDIUM,False,70104,0 days 00:01:35.443000
5,VET,13.0,1.0,16.0,93472,MEDIUM,False,75946,0 days 00:01:35.827000
5,VET,14.0,1.0,17.0,99314,MEDIUM,False,81788,0 days 00:01:35.470000
5,VET,15.0,1.0,18.0,105156,MEDIUM,False,87630,0 days 00:01:35.366000
5,VET,16.0,1.0,19.0,110998,MEDIUM,False,93472,0 days 00:01:35.717000
5,VET,17.0,1.0,20.0,116840,MEDIUM,False,99314,0 days 00:01:35.759000
5,VET,18.0,1.0,21.0,122682,MEDIUM,False,105156,0 days 00:01:35.480000
5,VET,19.0,1.0,22.0,128524,MEDIUM,False,110998,0 days 00:01:35.899000
5,VET,20.0,1.0,23.0,134366,MEDIUM,False,116840,0 days 00:01:36.040000
5,VET,21.0,1.0,24.0,140208,MEDIUM,False,122682,0 days 00:01:35.564000
5,VET,22.0,1.0,25.0,146050,MEDIUM,False,128524,0 days 00:01:35.858000
5,VET,23.0,1.0,26.0,151892,MEDIUM,False,134366,0 days 00:01:36.196000
5,VET,24.0,1.0,27.0,157734,MEDIUM,False,140208,0 days 00:01:35.668000
5,VET,25.0,1.0,28.0,163576,MEDIUM,False,146050,0 days 00:01:56.447000
5,VET,26.0,2.0,1.0,5842,HARD,True,151892,0 days 00:01:39.540000
5,VET,27.0,2.0,2.0,11684,HARD,True,157734,0 days 00:01:35.839000
5,VET,28.0,2.0,3.0,17526,HARD,True,163576,0 days 00:01:35.141000
5,VET,29.0,2.0,4.0,23368,HARD,True,169418,0 days 00:01:34.929000
5,VET,30.0,2.0,5.0,29210,HARD,True,175260,0 days 00:01:34.610000
5,VET,31.0,2.0,6.0,35052,HARD,True,181102,0 days 00:01:35.086000
5,VET,32.0,2.0,7.0,40894,HARD,True,186944,0 days 00:01:34.735000
5,VET,33.0,2.0,8.0,46736,HARD,True,192786,0 days 00:01:34.696000
5,VET,34.0,2.0,9.0,52578,HARD,True,198628,0 days 00:01:34.729000
5,VET,35.0,2.0,10.0,58420,HARD,True,204470,0 days 00:01:34.790000
5,VET,36.0,2.0,11.0,64262,HARD,True,210312,0 days 00:01:35.228000
5,VET,37.0,2.0,12.0,70104,HARD,True,216154,0 days 00:01:34.782000
5,VET,38.0,2.0,13.0,75946,HARD,True,221996,0 days 00:01:34.381000
5,VET,39.0,2.0,14.0,81788,HARD,True,227838,0 days 00:01:35.182000
5,VET,40.0,2.0,15.0,87630,HARD,True,233680,0 days 00:01:34.578000
5,VET,41.0,2.0,16.0,93472,HARD,True,239522,0 days 00:01:34.309000
5,VET,42.0,2.0,17.0,99314,HARD,True,245364,0 days 00:01:34.123000
5,VET,43.0,2.0,18.0,105156,HARD,True,251206,0 days 00:01:33.992000
5,VET,44.0,2.0,19.0,110998,HARD,True,257048,0 days 00:01:33.843000
5,VET,45.0,2.0,20.0,116840,HARD,True,262890,0 days 00:01:34.257000
5,VET,46.0,2.0,21.0,122682,HARD,True,268732,0 days 00:01:34.216000
5,VET,47.0,2.0,22.0,128524,HARD,True,274574,0 days 00:01:34.247000
5,VET,48.0,2.0,23.0,134366,HARD,True,280416,0 days 00:01:34.238000
5,VET,49.0,2.0,24.0,140208,HARD,True,286258,0 days 00:01:34.477000
5,VET,50.0,2.0,25.0,146050,HARD,True,292100,0 days 00:01:46.363000
5,VET,51.0,2.0,26.0,151892,HARD,True,297942,0 days 00:01:55.077000
5,VET,52.0,3.0,1.0,5842,SOFT,True,303784,0 days 00:01:42.854000
5,VET,53.0,3.0,2.0,11684,SOFT,True,309626,0 days 00:01:32.740000
