Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
16,1.0,1.0,4.0,21124,HYPERSOFT,False,0 days 00:02:27.322000
16,2.0,1.0,5.0,26405,HYPERSOFT,False,
16,3.0,1.0,6.0,31686,HYPERSOFT,False,
16,4.0,1.0,7.0,36967,HYPERSOFT,False,
16,5.0,1.0,8.0,42248,HYPERSOFT,False,0 days 00:01:45.931000
16,6.0,1.0,9.0,47529,HYPERSOFT,False,0 days 00:01:46.335000
16,7.0,1.0,10.0,52810,HYPERSOFT,False,0 days 00:02:11.538000
16,8.0,2.0,1.0,5281,SUPERSOFT,True,0 days 00:02:26.003000
16,9.0,2.0,2.0,10562,SUPERSOFT,True,0 days 00:01:46.305000
16,10.0,2.0,3.0,15843,SUPERSOFT,True,0 days 00:01:46.556000
16,11.0,2.0,4.0,21124,SUPERSOFT,True,0 days 00:01:47.613000
16,12.0,2.0,5.0,26405,SUPERSOFT,True,0 days 00:01:47.112000
16,13.0,2.0,6.0,31686,SUPERSOFT,True,0 days 00:01:47.440000
16,14.0,2.0,7.0,36967,SUPERSOFT,True,0 days 00:01:47.562000
16,15.0,2.0,8.0,42248,SUPERSOFT,True,0 days 00:01:48.199000
16,16.0,2.0,9.0,47529,SUPERSOFT,True,0 days 00:01:48.006000
16,17.0,2.0,10.0,52810,SUPERSOFT,True,0 days 00:01:47.931000
16,18.0,2.0,11.0,58091,SUPERSOFT,True,0 days 00:01:47.795000
16,19.0,2.0,12.0,63372,SUPERSOFT,True,0 days 00:01:47.643000
16,20.0,2.0,13.0,68653,SUPERSOFT,True,0 days 00:01:47.304000
16,21.0,2.0,14.0,73934,SUPERSOFT,True,0 days 00:01:46.944000
16,22.0,2.0,15.0,79215,SUPERSOFT,True,0 days 00:01:46.627000
16,23.0,2.0,16.0,84496,SUPERSOFT,True,0 days 00:01:46.285000
16,24.0,2.0,17.0,89777,SUPERSOFT,True,0 days 00:01:46.585000
16,25.0,2.0,18.0,95058,SUPERSOFT,True,0 days 00:01:47.562000
16,26.0,2.0,19.0,100339,SUPERSOFT,True,0 days 00:01:46.676000
16,27.0,2.0,20.0,105620,SUPERSOFT,True,0 days 00:01:46.792000
16,28.0,2.0,21.0,110901,SUPERSOFT,True,0 days 00:01:45.027000
16,29.0,2.0,22.0,116182,SUPERSOFT,True,0 days 00:01:44.869000
16,30.0,2.0,23.0,121463,SUPERSOFT,True,0 days 00:01:44.382000
16,31.0,2.0,24.0,126744,SUPERSOFT,True,0 days 00:01:44.715000
16,32.0,2.0,25.0,132025,SUPERSOFT,True,0 days 00:01:44.249000
16,33.0,2.0,26.0,137306,SUPERSOFT,True,0 days 00:01:43.792000
16,34.0,2.0,27.0,142587,SUPERSOFT,True,0 days 00:01:44.476000
16,35.0,2.0,28.0,147868,SUPERSOFT,True,0 days 00:01:44.510000
16,36.0,2.0,29.0,153149,SUPERSOFT,True,0 days 00:01:44.834000
16,37.0,2.0,30.0,158430,SUPERSOFT,True,0 days 00:01:44.281000
16,38.0,2.0,31.0,163711,SUPERSOFT,True,0 days 00:01:45.207000
16,39.0,2.0,32.0,168992,SUPERSOFT,True,0 days 00:01:44.975000
16,40.0,2.0,33.0,174273,SUPERSOFT,True,0 days 00:01:44.355000
16,41.0,2.0,34.0,179554,SUPERSOFT,True,0 days 00:01:43.955000
16,42.0,2.0,35.0,184835,SUPERSOFT,True,0 days 00:01:43.800000
16,43.0,2.0,36.0,190116,SUPERSOFT,True,0 days 00:01:43.783000
16,44.0,2.0,37.0,195397,SUPERSOFT,True,0 days 00:01:43.521000
16,45.0,2.0,38.0,200678,SUPERSOFT,True,0 days 00:01:43.957000
16,46.0,2.0,39.0,205959,SUPERSOFT,True,0 days 00:01:45.420000
16,47.0,2.0,40.0,211240,SUPERSOFT,True,0 days 00:01:44.795000
16,48.0,2.0,41.0,216521,SUPERSOFT,True,0 days 00:01:44.296000
16,49.0,2.0,42.0,221802,SUPERSOFT,True,0 days 00:01:44.207000
16,50.0,2.0,43.0,227083,SUPERSOFT,True,0 days 00:01:43.713000
16,51.0,2.0,44.0,232364,SUPERSOFT,True,0 days 00:01:43.579000
16,52.0,2.0,45.0,237645,SUPERSOFT,True,0 days 00:01:43.510000
16,53.0,2.0,46.0,242926,SUPERSOFT,True,0 days 00:01:43.025000
16,54.0,2.0,47.0,248207,SUPERSOFT,True,0 days 00:01:42.876000
16,55.0,2.0,48.0,253488,SUPERSOFT,True,0 days 00:01:43.723000
