Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
88,1.0,1.0,1.0,5891,MEDIUM,True,0 days 00:01:45.665000
88,2.0,1.0,2.0,11782,MEDIUM,True,0 days 00:01:35.258000
88,3.0,1.0,3.0,17673,MEDIUM,True,0 days 00:01:35.087000
88,4.0,1.0,4.0,23564,MEDIUM,True,0 days 00:01:34.890000
88,5.0,1.0,5.0,29455,MEDIUM,True,0 days 00:01:34.469000
88,6.0,1.0,6.0,35346,MEDIUM,True,0 days 00:01:34.282000
88,7.0,1.0,7.0,41237,MEDIUM,True,0 days 00:01:34.675000
88,8.0,1.0,8.0,47128,MEDIUM,True,0 days 00:01:34.079000
88,9.0,1.0,9.0,53019,MEDIUM,True,0 days 00:01:34.151000
88,10.0,1.0,10.0,58910,MEDIUM,True,0 days 00:01:34.105000
88,11.0,1.0,11.0,64801,MEDIUM,True,0 days 00:01:33.711000
88,12.0,1.0,12.0,70692,MEDIUM,True,0 days 00:01:34.005000
88,13.0,1.0,13.0,76583,MEDIUM,True,0 days 00:01:33.799000
88,14.0,1.0,14.0,82474,MEDIUM,True,0 days 00:01:34.394000
88,15.0,1.0,15.0,88365,MEDIUM,True,0 days 00:01:34.118000
88,16.0,1.0,16.0,94256,MEDIUM,True,0 days 00:01:35.221000
88,17.0,1.0,17.0,100147,MEDIUM,True,0 days 00:01:34.666000
88,18.0,1.0,18.0,106038,MEDIUM,True,0 days 00:01:34.104000
88,19.0,1.0,19.0,111929,MEDIUM,True,0 days 00:01:34.342000
88,20.0,1.0,20.0,117820,MEDIUM,True,0 days 00:02:08.267000
88,21.0,2.0,1.0,5891,HARD,True,0 days 00:02:23.526000
88,22.0,2.0,2.0,11782,HARD,True,0 days 00:01:41.215000
88,23.0,2.0,3.0,17673,HARD,True,0 days 00:01:52.064000
88,24.0,2.0,4.0,23564,HARD,True,0 days 00:01:36.611000
88,25.0,2.0,5.0,29455,HARD,True,0 days 00:01:34.981000
88,26.0,2.0,6.0,35346,HARD,True,0 days 00:01:33.877000
88,27.0,2.0,7.0,41237,HARD,True,0 days 00:01:33.462000
88,28.0,2.0,8.0,47128,HARD,True,0 days 00:01:33.264000
88,29.0,2.0,9.0,53019,HARD,True,0 days 00:01:32.883000
88,30.0,2.0,10.0,58910,HARD,True,0 days 00:01:32.723000
88,31.0,2.0,11.0,64801,HARD,True,0 days 00:01:32.970000
88,32.0,2.0,12.0,70692,HARD,True,0 days 00:01:32.917000
88,33.0,2.0,13.0,76583,HARD,True,0 days 00:01:32.872000
88,34.0,2.0,14.0,82474,HARD,True,0 days 00:01:32.229000
88,35.0,2.0,15.0,88365,HARD,True,0 days 00:01:32.261000
88,36.0,2.0,16.0,94256,HARD,True,0 days 00:01:32.550000
88,37.0,2.0,17.0,100147,HARD,True,0 days 00:01:32.803000
88,38.0,2.0,18.0,106038,HARD,True,0 days 00:01:32.557000
88,39.0,2.0,19.0,111929,HARD,True,0 days 00:01:32.596000
88,40.0,2.0,20.0,117820,HARD,True,0 days 00:01:33.055000
88,41.0,2.0,21.0,123711,HARD,True,0 days 00:01:33.068000
88,42.0,2.0,22.0,129602,HARD,True,0 days 00:01:32.508000
88,43.0,2.0,23.0,135493,HARD,True,0 days 00:01:32.668000
88,44.0,2.0,24.0,141384,HARD,True,0 days 00:01:32.543000
88,45.0,2.0,25.0,147275,HARD,True,0 days 00:01:34.006000
88,46.0,2.0,26.0,153166,HARD,True,0 days 00:01:32.734000
88,47.0,2.0,27.0,159057,HARD,True,0 days 00:01:32.087000
88,48.0,2.0,28.0,164948,HARD,True,0 days 00:01:32.010000
88,49.0,2.0,29.0,170839,HARD,True,0 days 00:01:33.164000
88,50.0,2.0,30.0,176730,HARD,True,0 days 00:01:31.509000
88,51.0,2.0,31.0,182621,HARD,True,0 days 00:01:33.637000
