DriverID,Driver,Team,Year,GranPrix,Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,Best,air_temp,humidity,trackTemp,pressure,wind_speed,wind_direction,NormalizedTireMeters,NormalizedDriverMeters,NormalizedAirTemp,NormalizedHumidity,NormalizedTrackTemp,NormalizedPressure,NormalizedWindSpeed,NormalizedWindDirection
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,1.0,9.0,1,1,1.0,4.0,28016,1,0,7004,150.965,0,5.733333333333333,19.433333333333334,9.233333333333333,322.73333333333335,0.5333333333333333,4.0,0.09523809523809523,0.0225976305397104,0.16241737488196414,0.21688988095238096,0.1614219114219114,0.31569337115654245,0.06751054852320675,0.011111111111111112
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,2.0,8.0,1,1,1.0,5.0,35020,1,0,14008,,0,5.766666666666667,18.933333333333334,9.4,322.73333333333335,0.7666666666666666,5.666666666666667,0.11904761904761904,0.0451952610794208,0.16336166194523136,0.21130952380952384,0.16433566433566432,0.31569337115654245,0.0970464135021097,0.015740740740740743
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,3.0,8.0,1,1,1.0,6.0,42024,1,0,21012,,0,5.8,18.766666666666666,9.533333333333333,322.73333333333335,0.7000000000000001,118.33333333333333,0.14285714285714285,0.0677928916191312,0.1643059490084986,0.20944940476190477,0.16666666666666666,0.31569337115654245,0.08860759493670886,0.32870370370370366
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,4.0,8.0,1,1,1.0,7.0,49028,1,0,28016,,0,5.8,18.466666666666665,9.4,322.7,0.7333333333333334,0.0,0.16666666666666666,0.0903905221588416,0.1643059490084986,0.20610119047619047,0.16433566433566432,0.3156607649417979,0.09282700421940929,0.0
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,5.0,8.0,1,1,1.0,8.0,56032,1,0,35020,113.86,1,8.7,28.35,13.9,484.1,0.75,170.0,0.19047619047619047,0.112988152698552,0.24645892351274787,0.31640625000000006,0.243006993006993,0.4735400567348137,0.09493670886075949,0.4722222222222222
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,6.0,8.0,1,1,1.0,9.0,63036,1,0,42024,112.27,1,17.4,56.8,27.3,968.2,1.6,333.0,0.21428571428571427,0.1355857832382624,0.49291784702549574,0.6339285714285714,0.47727272727272724,0.9470801134696274,0.20253164556962025,0.925
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,7.0,8.0,1,1,1.0,10.0,70040,1,0,49028,112.374,0,8.75,27.75,13.55,484.1,0.75,142.0,0.23809523809523808,0.1581834137779728,0.24787535410764874,0.30970982142857145,0.2368881118881119,0.4735400567348137,0.09493670886075949,0.39444444444444443
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,8.0,8.0,1,1,1.0,11.0,77044,1,0,56032,112.102,1,8.65,29.05,13.3,484.1,1.15,173.5,0.2619047619047619,0.1807810443176832,0.24504249291784705,0.32421875000000006,0.23251748251748253,0.4735400567348137,0.14556962025316453,0.48194444444444445
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,9.0,8.0,1,1,1.0,12.0,84048,1,0,63036,111.914,1,8.7,28.55,13.4,484.1,1.25,5.5,0.2857142857142857,0.20337867485739358,0.24645892351274787,0.3186383928571429,0.23426573426573427,0.4735400567348137,0.1582278481012658,0.015277777777777777
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,10.0,7.0,1,1,1.0,13.0,91052,1,0,70040,110.368,1,8.65,28.9,13.55,484.15,0.8,164.0,0.30952380952380953,0.225976305397104,0.24504249291784705,0.32254464285714285,0.2368881118881119,0.47358896605693046,0.10126582278481013,0.45555555555555555
11,PER,Racing Point,2019,Belgian Grand Prix,Spa-Francorchamps,11.0,7.0,1,1,1.0,14.0,98056,1,0,77044,110.811,0,8.6,28.95,13.4,484.1,0.55,111.0,0.3333333333333333,0.2485739359368144,0.24362606232294617,0.3231026785714286,0.23426573426573427,0.4735400567348137,0.06962025316455696,0.30833333333333335
