DriverID,Driver,Team,Year,GranPrix,Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,Best,air_temp,humidity,trackTemp,pressure,wind_speed,wind_direction,NormalizedTireMeters,NormalizedDriverMeters,NormalizedAirTemp,NormalizedHumidity,NormalizedTrackTemp,NormalizedPressure,NormalizedWindSpeed,NormalizedWindDirection
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,1.0,12.0,1,1,1.0,1.0,5451,2,1,5451,121.546,0,9.7,22.7,14.4,509.55,1.35,56.5,0.018530227625030593,0.01758704798286142,0.2747875354107649,0.2533482142857143,0.2517482517482517,0.49843490169226257,0.17088607594936708,0.15694444444444444
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,2.0,12.0,1,1,1.0,2.0,10902,2,1,10902,106.19,1,9.85,22.55,14.45,509.55,2.0,43.5,0.037060455250061186,0.03517409596572284,0.2790368271954674,0.25167410714285715,0.2526223776223776,0.49843490169226257,0.2531645569620253,0.12083333333333333
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,3.0,11.0,1,1,1.0,3.0,16353,2,1,16353,100.931,1,9.85,21.65,14.25,509.55,2.05,46.0,0.055590682875091786,0.05276114394858426,0.2790368271954674,0.24162946428571427,0.2491258741258741,0.49843490169226257,0.2594936708860759,0.12777777777777777
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,4.0,10.0,1,1,1.0,4.0,21804,2,1,21804,100.508,1,19.6,43.8,28.3,1019.1,3.3,89.0,0.07412091050012237,0.07034819193144567,0.5552407932011332,0.4888392857142857,0.49475524475524474,0.9968698033845251,0.4177215189873417,0.24722222222222223
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,5.0,10.0,1,1,1.0,5.0,27255,2,1,27255,100.443,1,9.7,22.0,14.1,509.55,2.0,45.5,0.09265113812515298,0.0879352399143071,0.2747875354107649,0.2455357142857143,0.24650349650349648,0.49843490169226257,0.2531645569620253,0.12638888888888888
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,6.0,10.0,1,1,1.0,6.0,32706,2,1,32706,100.374,1,9.75,21.95,14.05,509.55,1.85,43.0,0.11118136575018357,0.10552228789716853,0.27620396600566577,0.24497767857142858,0.24562937062937062,0.49843490169226257,0.23417721518987342,0.11944444444444445
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,7.0,10.0,1,1,1.0,7.0,38157,2,1,38157,100.26,1,9.8,22.0,14.05,509.6,1.35,48.5,0.12971159337521415,0.12310933588002994,0.2776203966005666,0.2455357142857143,0.24562937062937062,0.4984838110143794,0.17088607594936708,0.13472222222222222
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,8.0,10.0,1,1,1.0,8.0,43608,2,1,43608,100.016,1,19.6,44.5,28.0,1019.2,3.6,99.0,0.14824182100024474,0.14069638386289135,0.5552407932011332,0.49665178571428575,0.4895104895104895,0.9969676220287588,0.45569620253164556,0.275
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,9.0,10.0,1,1,1.0,9.0,49059,2,1,49059,100.644,0,9.8,22.5,13.95,509.6,2.0,30.5,0.16677204862527537,0.15828343184575278,0.2776203966005666,0.25111607142857145,0.24388111888111885,0.4984838110143794,0.2531645569620253,0.08472222222222223
7,RAI,Alfa Romeo Racing,2019,Chinese Grand Prix,Shanghai,10.0,9.0,1,1,1.0,10.0,54510,2,1,54510,99.939,1,9.85,22.4,14.0,509.6,1.75,42.0,0.18530227625030596,0.1758704798286142,0.2790368271954674,0.25,0.24475524475524474,0.4984838110143794,0.22151898734177214,0.11666666666666667
