Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
11,1.0,1.0,4.0,22052,ULTRASOFT,False,0 days 00:01:48.598000
11,2.0,1.0,5.0,27565,ULTRASOFT,False,0 days 00:01:43.615000
11,3.0,1.0,6.0,33078,ULTRASOFT,False,0 days 00:01:43.864000
11,4.0,1.0,7.0,38591,ULTRASOFT,False,0 days 00:01:43.312000
11,5.0,1.0,8.0,44104,ULTRASOFT,False,0 days 00:01:42.756000
11,6.0,1.0,9.0,49617,ULTRASOFT,False,0 days 00:01:44.215000
11,7.0,1.0,10.0,55130,ULTRASOFT,False,0 days 00:01:42.991000
11,8.0,1.0,11.0,60643,ULTRASOFT,False,0 days 00:01:42.895000
11,9.0,1.0,12.0,66156,ULTRASOFT,False,0 days 00:01:42.960000
11,10.0,1.0,13.0,71669,ULTRASOFT,False,0 days 00:01:56.989000
11,11.0,1.0,14.0,77182,ULTRASOFT,False,0 days 00:02:13.577000
11,12.0,1.0,15.0,82695,ULTRASOFT,False,0 days 00:01:41.656000
11,13.0,1.0,16.0,88208,ULTRASOFT,False,0 days 00:01:41.888000
11,14.0,1.0,17.0,93721,ULTRASOFT,False,0 days 00:01:42.474000
11,15.0,1.0,18.0,99234,ULTRASOFT,False,0 days 00:01:42.360000
11,16.0,1.0,19.0,104747,ULTRASOFT,False,0 days 00:01:42.526000
11,17.0,1.0,20.0,110260,ULTRASOFT,False,0 days 00:01:42.410000
11,18.0,1.0,21.0,115773,ULTRASOFT,False,0 days 00:01:42.382000
11,19.0,1.0,22.0,121286,ULTRASOFT,False,0 days 00:01:42.577000
11,20.0,1.0,23.0,126799,ULTRASOFT,False,0 days 00:01:43.114000
11,21.0,1.0,24.0,132312,ULTRASOFT,False,0 days 00:01:43.052000
11,22.0,1.0,25.0,137825,ULTRASOFT,False,0 days 00:01:42.870000
11,23.0,1.0,26.0,143338,ULTRASOFT,False,0 days 00:01:42.628000
11,24.0,1.0,27.0,148851,ULTRASOFT,False,0 days 00:01:42.980000
11,25.0,1.0,28.0,154364,ULTRASOFT,False,0 days 00:01:43.177000
11,26.0,2.0,1.0,5513,SOFT,True,0 days 00:02:02.613000
11,27.0,2.0,2.0,11026,SOFT,True,0 days 00:01:41.954000
11,28.0,2.0,3.0,16539,SOFT,True,0 days 00:01:41.701000
11,29.0,2.0,4.0,22052,SOFT,True,0 days 00:01:41.998000
11,30.0,2.0,5.0,27565,SOFT,True,0 days 00:01:40.885000
11,31.0,2.0,6.0,33078,SOFT,True,0 days 00:01:42.078000
11,32.0,2.0,7.0,38591,SOFT,True,0 days 00:01:40.966000
11,33.0,2.0,8.0,44104,SOFT,True,0 days 00:01:40.420000
11,34.0,2.0,9.0,49617,SOFT,True,0 days 00:01:39.944000
11,35.0,2.0,10.0,55130,SOFT,True,0 days 00:01:39.985000
11,36.0,2.0,11.0,60643,SOFT,True,0 days 00:01:39.569000
11,37.0,2.0,12.0,66156,SOFT,True,
11,38.0,2.0,13.0,71669,SOFT,True,0 days 00:01:40.200000
11,39.0,2.0,14.0,77182,SOFT,True,0 days 00:01:40.356000
11,40.0,2.0,15.0,82695,SOFT,True,0 days 00:01:39.822000
11,41.0,2.0,16.0,88208,SOFT,True,0 days 00:01:40.052000
11,42.0,2.0,17.0,93721,SOFT,True,0 days 00:01:40.073000
11,43.0,2.0,18.0,99234,SOFT,True,0 days 00:01:39.885000
11,44.0,2.0,19.0,104747,SOFT,True,0 days 00:01:40.238000
11,45.0,2.0,20.0,110260,SOFT,True,0 days 00:01:40.132000
11,46.0,2.0,21.0,115773,SOFT,True,0 days 00:01:40.150000
11,47.0,2.0,22.0,121286,SOFT,True,0 days 00:01:40.060000
11,48.0,2.0,23.0,126799,SOFT,True,0 days 00:01:39.966000
11,49.0,2.0,24.0,132312,SOFT,True,0 days 00:01:40.109000
11,50.0,2.0,25.0,137825,SOFT,True,0 days 00:01:39.830000
11,51.0,2.0,26.0,143338,SOFT,True,0 days 00:01:40.414000
11,52.0,2.0,27.0,148851,SOFT,True,0 days 00:01:40.369000
11,53.0,2.0,28.0,154364,SOFT,True,0 days 00:01:40.499000
11,54.0,2.0,29.0,159877,SOFT,True,0 days 00:01:40.597000
11,55.0,2.0,30.0,165390,SOFT,True,0 days 00:01:40.753000
11,56.0,2.0,31.0,170903,SOFT,True,0 days 00:01:42.670000
