Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
3,1.0,1.0,1.0,5412,SOFT,True,0 days 00:01:43.535000
3,2.0,1.0,2.0,10824,SOFT,True,0 days 00:01:38.949000
3,3.0,1.0,3.0,16236,SOFT,True,0 days 00:01:38.702000
3,4.0,1.0,4.0,21648,SOFT,True,0 days 00:01:38.942000
3,5.0,1.0,5.0,27060,SOFT,True,0 days 00:01:38.580000
3,6.0,1.0,6.0,32472,SOFT,True,0 days 00:01:38.523000
3,7.0,1.0,7.0,37884,SOFT,True,0 days 00:01:38.189000
3,8.0,1.0,8.0,43296,SOFT,True,0 days 00:01:37.922000
3,9.0,1.0,9.0,48708,SOFT,True,0 days 00:01:38.158000
3,10.0,1.0,10.0,54120,SOFT,True,0 days 00:01:38.025000
3,11.0,1.0,11.0,59532,SOFT,True,0 days 00:01:38.146000
3,12.0,1.0,12.0,64944,SOFT,True,0 days 00:01:38.416000
3,13.0,1.0,13.0,70356,SOFT,True,0 days 00:01:38.060000
3,14.0,1.0,14.0,75768,SOFT,True,0 days 00:01:38.283000
3,15.0,1.0,15.0,81180,SOFT,True,0 days 00:01:38.967000
3,16.0,1.0,16.0,86592,SOFT,True,0 days 00:01:39.755000
3,17.0,1.0,17.0,92004,SOFT,True,0 days 00:01:38.720000
3,18.0,1.0,18.0,97416,SOFT,True,0 days 00:01:40.673000
3,19.0,1.0,19.0,102828,SOFT,True,0 days 00:01:39.195000
3,20.0,1.0,20.0,108240,SOFT,True,0 days 00:01:39.538000
3,21.0,1.0,21.0,113652,SOFT,True,0 days 00:01:38.998000
3,22.0,1.0,22.0,119064,SOFT,True,0 days 00:01:39.449000
3,23.0,1.0,23.0,124476,SOFT,True,0 days 00:01:39.975000
3,24.0,1.0,24.0,129888,SOFT,True,0 days 00:01:42.732000
3,25.0,2.0,1.0,5412,MEDIUM,True,0 days 00:02:00.073000
3,26.0,2.0,2.0,10824,MEDIUM,True,0 days 00:01:37.833000
3,27.0,2.0,3.0,16236,MEDIUM,True,0 days 00:01:38.027000
3,28.0,2.0,4.0,21648,MEDIUM,True,0 days 00:01:37.973000
3,29.0,2.0,5.0,27060,MEDIUM,True,0 days 00:01:38.367000
3,30.0,2.0,6.0,32472,MEDIUM,True,0 days 00:01:37.417000
3,31.0,2.0,7.0,37884,MEDIUM,True,0 days 00:01:37.830000
3,32.0,2.0,8.0,43296,MEDIUM,True,0 days 00:01:37.888000
3,33.0,2.0,9.0,48708,MEDIUM,True,0 days 00:01:37.369000
3,34.0,2.0,10.0,54120,MEDIUM,True,0 days 00:01:37.935000
3,35.0,2.0,11.0,59532,MEDIUM,True,0 days 00:01:37.791000
3,36.0,2.0,12.0,64944,MEDIUM,True,0 days 00:01:37.696000
3,37.0,2.0,13.0,70356,MEDIUM,True,0 days 00:01:38.162000
3,38.0,2.0,14.0,75768,MEDIUM,True,0 days 00:01:38.083000
3,39.0,2.0,15.0,81180,MEDIUM,True,0 days 00:01:38.575000
3,40.0,2.0,16.0,86592,MEDIUM,True,0 days 00:01:37.573000
3,41.0,2.0,17.0,92004,MEDIUM,True,0 days 00:01:37.928000
3,42.0,2.0,18.0,97416,MEDIUM,True,0 days 00:01:36.697000
3,43.0,2.0,19.0,102828,MEDIUM,True,0 days 00:01:36.716000
3,44.0,2.0,20.0,108240,MEDIUM,True,0 days 00:01:38.222000
3,45.0,2.0,21.0,113652,MEDIUM,True,0 days 00:01:37.621000
3,46.0,2.0,22.0,119064,MEDIUM,True,0 days 00:01:37.282000
3,47.0,2.0,23.0,124476,MEDIUM,True,0 days 00:01:37.307000
3,48.0,2.0,24.0,129888,MEDIUM,True,0 days 00:01:37.090000
3,49.0,2.0,25.0,135300,MEDIUM,True,0 days 00:01:37.440000
3,50.0,2.0,26.0,140712,MEDIUM,True,0 days 00:01:37.432000
3,51.0,2.0,27.0,146124,MEDIUM,True,0 days 00:01:37.112000
3,52.0,2.0,28.0,151536,MEDIUM,True,0 days 00:01:38.617000
3,53.0,2.0,29.0,156948,MEDIUM,True,0 days 00:01:37.994000
3,54.0,2.0,30.0,162360,MEDIUM,True,
