Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
20,1.0,1.0,1.0,4574,WET,True,0 days 00:01:52.305000
20,2.0,1.0,2.0,9148,WET,True,0 days 00:01:47.111000
20,3.0,1.0,3.0,13722,WET,True,0 days 00:01:56.586000
20,4.0,1.0,4.0,18296,WET,True,0 days 00:02:09.203000
20,5.0,1.0,5.0,22870,WET,True,0 days 00:01:38.574000
20,6.0,1.0,6.0,27444,WET,True,0 days 00:01:38.274000
20,7.0,1.0,7.0,32018,WET,True,0 days 00:01:37.792000
20,8.0,1.0,8.0,36592,WET,True,0 days 00:01:43.334000
20,9.0,2.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:48.389000
20,10.0,2.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:31.814000
20,11.0,2.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:31.529000
20,12.0,2.0,4.0,18296,INTERMEDIATE,True,0 days 00:01:31.803000
20,13.0,2.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:32.607000
20,14.0,2.0,6.0,27444,INTERMEDIATE,True,0 days 00:01:33.531000
20,15.0,2.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:52.887000
20,16.0,2.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:32.458000
20,17.0,2.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:33.053000
20,18.0,2.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:34.048000
20,19.0,2.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:35.465000
20,20.0,2.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:36.257000
20,21.0,2.0,13.0,59462,INTERMEDIATE,True,0 days 00:01:39.356000
20,22.0,3.0,1.0,4574,SOFT,True,0 days 00:01:53.273000
20,23.0,3.0,2.0,9148,SOFT,True,0 days 00:01:32.279000
20,24.0,3.0,3.0,13722,SOFT,True,0 days 00:01:31.378000
20,25.0,3.0,4.0,18296,SOFT,True,0 days 00:01:33.552000
20,26.0,3.0,5.0,22870,SOFT,True,0 days 00:01:33.501000
20,27.0,3.0,6.0,27444,SOFT,True,0 days 00:01:59.685000
20,28.0,3.0,7.0,32018,SOFT,True,0 days 00:02:02.104000
20,29.0,3.0,8.0,36592,SOFT,True,0 days 00:02:02.263000
20,30.0,4.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:54.670000
20,31.0,4.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:34.964000
20,32.0,4.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:49.177000
20,33.0,4.0,4.0,18296,INTERMEDIATE,True,0 days 00:02:09.348000
20,34.0,4.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:36.709000
20,35.0,4.0,6.0,27444,INTERMEDIATE,True,0 days 00:01:34.328000
20,36.0,4.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:33.089000
20,37.0,4.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:31.393000
20,38.0,4.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:31
20,39.0,4.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:31.225000
20,40.0,4.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:34.390000
20,41.0,4.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:58.236000
20,42.0,4.0,13.0,59462,INTERMEDIATE,True,0 days 00:02:01.998000
20,43.0,5.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:52.486000
20,44.0,5.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:45.431000
20,45.0,5.0,3.0,13722,INTERMEDIATE,True,0 days 00:02:01.437000
20,46.0,6.0,4.0,18296,SOFT,False,0 days 00:01:42.470000
20,47.0,6.0,5.0,22870,SOFT,False,0 days 00:01:23.384000
20,48.0,6.0,6.0,27444,SOFT,False,0 days 00:01:21.214000
20,49.0,6.0,7.0,32018,SOFT,False,0 days 00:01:20.622000
20,50.0,6.0,8.0,36592,SOFT,False,0 days 00:01:21.112000
20,51.0,6.0,9.0,41166,SOFT,False,0 days 00:01:20.708000
20,52.0,6.0,10.0,45740,SOFT,False,0 days 00:01:20.444000
20,53.0,6.0,11.0,50314,SOFT,False,0 days 00:01:22.046000
20,54.0,6.0,12.0,54888,SOFT,False,0 days 00:01:22.134000
20,55.0,6.0,13.0,59462,SOFT,False,0 days 00:01:20.119000
20,56.0,6.0,14.0,64036,SOFT,False,0 days 00:01:21.033000
20,57.0,6.0,15.0,68610,SOFT,False,0 days 00:01:59.755000
20,58.0,7.0,4.0,18296,SOFT,False,0 days 00:02:11.660000
20,59.0,7.0,5.0,22870,SOFT,False,0 days 00:01:21.428000
20,60.0,7.0,6.0,27444,SOFT,False,0 days 00:01:20.299000
20,61.0,7.0,7.0,32018,SOFT,False,0 days 00:01:19.423000
20,62.0,7.0,8.0,36592,SOFT,False,0 days 00:01:19.323000
20,63.0,7.0,9.0,41166,SOFT,False,0 days 00:01:19.062000
20,64.0,7.0,10.0,45740,SOFT,False,0 days 00:01:19.512000
