DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,1.0,16.0,1,1,1.0,1.0,7004,2,1,7004,120.156,0,10.5,24.0,21.2,489.05,0.9,155.5,0.022437499199118388,0.022589904854055796
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,2.0,16.0,1,1,1.0,2.0,14008,2,1,14008,111.8,1,21.0,48.0,42.4,978.1,1.8,311.0,0.044874998398236776,0.04517980970811159
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,3.0,16.0,1,1,1.0,3.0,21012,2,1,21012,111.234,1,10.6,24.5,21.3,489.1,0.6,74.5,0.06731249759735516,0.06776971456216739
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,4.0,16.0,1,1,1.0,4.0,28016,2,1,28016,110.912,1,10.65,24.0,21.35,489.1,1.1,4.0,0.08974999679647355,0.09035961941622318
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,5.0,16.0,1,1,1.0,5.0,35020,2,1,35020,110.769,1,10.5,24.5,21.2,489.1,0.6,1.5,0.11218749599559195,0.11294952427027899
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,6.0,16.0,1,1,1.0,6.0,42024,2,1,42024,111.278,0,10.65,25.0,21.35,489.15,0.55,143.5,0.13462499519471033,0.13553942912433478
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,7.0,19.0,1,1,1.0,7.0,49028,2,1,49028,115.52,0,10.7,24.5,21.3,489.0,0.3,171.0,0.15706249439382872,0.15812933397839057
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,8.0,19.0,1,1,2.0,1.0,7004,3,1,56032,124.815,0,10.75,24.0,21.45,489.0,1.45,179.5,0.022437499199118388,0.18071923883244637
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,9.0,18.0,1,1,2.0,2.0,14008,3,1,63036,109.634,1,10.75,24.0,21.55,489.0,1.45,6.0,0.044874998398236776,0.2033091436865022
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,10.0,17.0,1,1,2.0,3.0,21012,3,1,70040,109.269,1,21.4,49.0,43.3,978.0,2.2,36.0,0.06731249759735516,0.22589904854055798
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,11.0,17.0,1,1,2.0,4.0,28016,3,1,77044,109.727,0,10.8,25.5,21.65,489.0,1.15,1.0,0.08974999679647355,0.24848895339461377
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,12.0,16.0,1,1,2.0,5.0,35020,3,1,84048,109.825,0,10.75,25.5,21.45,489.05,1.2,0.5,0.11218749599559195,0.27107885824866956
27,HUL,Haas F1 Team,2024,Belgian Grand Prix,Spa-Francorchamps,13.0,14.0,1,1,2.0,6.0,42024,3,1,91052,109.805,0,10.8,25.5,21.4,489.05,0.7,177.0,0.13462499519471033,0.2936687631027254
