Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
88,1.0,1.0,1.0,7004,MEDIUM,True,0 days 00:02:43.210000
88,2.0,1.0,2.0,14008,MEDIUM,True,
88,3.0,1.0,3.0,21012,MEDIUM,True,
88,4.0,1.0,4.0,28016,MEDIUM,True,
88,5.0,1.0,5.0,35020,MEDIUM,True,0 days 00:01:55.637000
88,6.0,1.0,6.0,42024,MEDIUM,True,0 days 00:01:55.171000
88,7.0,1.0,7.0,49028,MEDIUM,True,0 days 00:01:54.315000
88,8.0,1.0,8.0,56032,MEDIUM,True,0 days 00:01:53.307000
88,9.0,1.0,9.0,63036,MEDIUM,True,0 days 00:01:52.615000
88,10.0,1.0,10.0,70040,MEDIUM,True,0 days 00:01:52.480000
88,11.0,1.0,11.0,77044,MEDIUM,True,0 days 00:01:52.047000
88,12.0,1.0,12.0,84048,MEDIUM,True,0 days 00:01:52.756000
88,13.0,1.0,13.0,91052,MEDIUM,True,0 days 00:01:52.668000
88,14.0,1.0,14.0,98056,MEDIUM,True,0 days 00:01:54.267000
88,15.0,1.0,15.0,105060,MEDIUM,True,0 days 00:01:53.968000
88,16.0,1.0,16.0,112064,MEDIUM,True,0 days 00:01:52.776000
88,17.0,1.0,17.0,119068,MEDIUM,True,0 days 00:01:52.555000
88,18.0,1.0,18.0,126072,MEDIUM,True,0 days 00:01:52.718000
88,19.0,1.0,19.0,133076,MEDIUM,True,0 days 00:01:52.420000
88,20.0,1.0,20.0,140080,MEDIUM,True,0 days 00:01:52.204000
88,21.0,1.0,21.0,147084,MEDIUM,True,0 days 00:01:52.024000
88,22.0,1.0,22.0,154088,MEDIUM,True,0 days 00:01:52.153000
88,23.0,1.0,23.0,161092,MEDIUM,True,0 days 00:01:52.304000
88,24.0,1.0,24.0,168096,MEDIUM,True,0 days 00:01:52.207000
88,25.0,1.0,25.0,175100,MEDIUM,True,0 days 00:01:52.100000
88,26.0,1.0,26.0,182104,MEDIUM,True,0 days 00:01:52.055000
88,27.0,1.0,27.0,189108,MEDIUM,True,0 days 00:01:52.046000
88,28.0,1.0,28.0,196112,MEDIUM,True,0 days 00:01:53.446000
88,29.0,1.0,29.0,203116,MEDIUM,True,0 days 00:01:52.215000
88,30.0,1.0,30.0,210120,MEDIUM,True,0 days 00:01:52.666000
88,31.0,1.0,31.0,217124,MEDIUM,True,0 days 00:01:56.608000
88,32.0,2.0,1.0,7004,SOFT,True,0 days 00:02:06.038000
88,33.0,2.0,2.0,14008,SOFT,True,0 days 00:01:49.220000
88,34.0,2.0,3.0,21012,SOFT,True,0 days 00:01:49.781000
88,35.0,2.0,4.0,28016,SOFT,True,0 days 00:01:49.834000
88,36.0,2.0,5.0,35020,SOFT,True,0 days 00:01:51.452000
88,37.0,2.0,6.0,42024,SOFT,True,0 days 00:01:51.415000
88,38.0,2.0,7.0,49028,SOFT,True,0 days 00:01:50.684000
88,39.0,2.0,8.0,56032,SOFT,True,0 days 00:01:50.326000
88,40.0,2.0,9.0,63036,SOFT,True,0 days 00:01:50.648000
88,41.0,2.0,10.0,70040,SOFT,True,0 days 00:01:50.226000
88,42.0,2.0,11.0,77044,SOFT,True,0 days 00:01:50.384000
88,43.0,2.0,12.0,84048,SOFT,True,0 days 00:01:51.832000
